Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
VRT270115C00072500,2/11/2026  1:13 PM,72.5,168.00,188.05,192.50,0.00,0.00%,5,33,96.98%
VRT270115C00075000,2/23/2026  2:35 PM,75,172.60,185.50,190.50,0.00,0.00%,1,93,95.89%
VRT270115C00077500,11/5/2025  12:19 PM,77.5,119.55,97.00,101.15,0.00,0.00%,10,30,0.00%
VRT270115C00080000,3/11/2026  10:28 AM,80,197.00,181.00,185.90,0.00,0.00%,1,178,93.65%
VRT270115C00082500,3/4/2026  9:30 AM,82.5,171.96,179.00,183.50,0.00,0.00%,1,34,92.91%
VRT270115C00085000,3/11/2026  9:39 AM,85,190.55,176.50,181.00,0.00,0.00%,5,112,90.69%
VRT270115C00087500,3/12/2026  3:09 PM,87.5,185.00,174.65,179.00,0.00,0.00%,1,57,91.24%
VRT270115C00090000,3/13/2026  12:23 PM,90,175.25,173.05,176.50,13.22,8.16%,1,345,91.08%
VRT270115C00092500,2/11/2026  11:24 AM,92.5,155.75,171.10,174.50,0.00,0.00%,2,132,91.14%
VRT270115C00095000,3/4/2026  9:47 AM,95,160.50,167.50,172.50,0.00,0.00%,2,141,87.82%
VRT270115C00097500,2/13/2026  2:41 PM,97.5,145.16,166.60,170.00,0.00,0.00%,1,130,88.93%
VRT270115C00100000,3/12/2026  1:03 PM,100,176.05,164.40,167.95,0.00,0.00%,27,534,88.29%
VRT270115C00105000,3/4/2026  9:30 AM,105,152.21,159.40,163.50,0.00,0.00%,1,482,85.32%
VRT270115C00110000,3/10/2026  10:08 AM,110,167.32,154.80,159.40,0.00,0.00%,1,339,83.67%
VRT270115C00115000,3/11/2026  11:00 AM,115,167.40,151.15,155.25,0.00,0.00%,2,361,83.36%
VRT270115C00120000,3/10/2026  9:30 AM,120,150.75,146.90,151.00,-2.70,-1.76%,2,586,81.85%
VRT270115C00125000,3/10/2026  2:16 PM,125,158.00,143.15,146.90,0.00,0.00%,1,599,81.17%
VRT270115C00130000,3/11/2026  9:36 AM,130,149.97,139.15,142.95,0.00,0.00%,10,598,80.23%
VRT270115C00135000,3/13/2026  1:40 PM,135,139.14,135.30,139.00,-1.01,-0.72%,2,472,79.38%
VRT270115C00140000,3/9/2026  9:40 AM,140,130.40,131.70,135.05,0.00,0.00%,1,322,78.70%
VRT270115C00145000,3/10/2026  3:45 PM,145,139.74,127.55,131.20,0.00,0.00%,2,557,77.44%
VRT270115C00150000,3/11/2026  10:44 AM,150,139.05,123.65,127.10,0.00,0.00%,56,908,76.14%
VRT270115C00155000,3/11/2026  9:33 AM,155,133.40,120.20,123.80,0.00,0.00%,1,396,75.98%
VRT270115C00160000,3/10/2026  2:01 PM,160,132.00,116.55,120.15,0.00,0.00%,4,402,75.18%
VRT270115C00165000,3/10/2026  1:45 PM,165,126.70,113.15,116.80,0.00,0.00%,16,211,74.79%
VRT270115C00170000,3/10/2026  1:44 PM,170,124.32,109.30,112.10,0.00,0.00%,7,433,72.78%
VRT270115C00175000,3/11/2026  3:55 PM,175,115.62,106.25,108.60,0.00,0.00%,8,"9,501",72.40%
VRT270115C00180000,3/13/2026  2:56 PM,180,106.00,103.85,106.60,-10.44,-8.97%,2,306,73.59%
VRT270115C00185000,3/13/2026  2:14 PM,185,101.70,99.75,103.35,-8.80,-7.96%,3,275,72.37%
VRT270115C00190000,3/11/2026  3:46 PM,190,106.07,97.10,100.25,0.00,0.00%,2,411,72.27%
VRT270115C00195000,3/11/2026  9:30 AM,195,105.12,93.60,97.15,0.00,0.00%,2,646,71.47%
VRT270115C00200000,3/13/2026  2:50 PM,200,94.00,90.70,94.05,-4.10,-4.18%,15,"1,268",71.01%
VRT270115C00210000,3/11/2026  12:17 PM,210,94.30,84.95,88.40,0.00,0.00%,3,364,70.27%
VRT270115C00220000,3/13/2026  10:37 AM,220,84.67,79.95,82.95,1.17,1.40%,1,594,69.82%
VRT270115C00230000,3/13/2026  1:07 PM,230,76.15,74.75,77.80,-7.32,-8.77%,3,"20,537",69.13%
VRT270115C00240000,3/13/2026  12:55 PM,240,73.00,69.35,72.80,2.50,3.55%,2,"1,155",68.14%
VRT270115C00250000,3/12/2026  1:49 PM,250,73.60,65.20,68.35,0.00,0.00%,7,"2,342",67.93%
VRT270115C00260000,3/13/2026  2:43 PM,260,63.43,60.45,63.70,-3.27,-4.90%,11,"17,714",67.02%
VRT270115C00270000,3/13/2026  11:19 AM,270,59.25,56.55,59.30,-3.75,-5.95%,2,"1,040",66.47%
VRT270115C00280000,3/13/2026  2:21 PM,280,54.85,52.80,54.35,-5.62,-9.29%,6,284,65.49%
VRT270115C00290000,3/13/2026  1:10 PM,290,51.03,49.15,51.60,-2.62,-4.88%,50,"1,491",65.52%
VRT270115C00300000,3/13/2026  3:53 PM,300,47.08,45.70,48.95,-6.07,-11.42%,2,860,65.49%
VRT270115C00310000,3/13/2026  12:10 PM,310,43.70,42.30,44.20,-1.10,-2.46%,3,"2,403",64.18%
VRT270115C00320000,3/12/2026  3:04 PM,320,45.60,39.25,41.20,0.00,0.00%,23,547,63.78%
VRT270115C00330000,3/12/2026  3:01 PM,330,43.00,36.55,38.45,0.00,0.00%,9,742,63.52%
VRT270115C00340000,3/12/2026  9:45 AM,340,36.95,34.00,36.85,0.00,0.00%,1,134,63.78%
VRT270115C00350000,3/13/2026  3:49 PM,350,33.10,31.50,34.70,-4.30,-11.50%,6,94,63.61%
VRT270115C00360000,3/12/2026  3:35 PM,360,34.45,29.45,32.95,0.00,0.00%,4,114,63.75%
VRT270115C00370000,3/13/2026  1:15 PM,370,28.90,27.45,30.25,-3.37,-10.44%,202,322,63.24%
VRT270115C00380000,3/11/2026  2:16 PM,380,30.78,26.15,28.35,0.00,0.00%,56,158,63.43%
