Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MP260320C00075000,3/13/2026  3:56 PM,75,0.05,0.05,0.08,-0.12,-70.59%,156,"2,988",103.13%
MP260320C00080000,3/13/2026  12:58 PM,80,0.07,0.04,0.10,0.00,0.00%,43,"2,538",124.61%
MP260320C00085000,3/13/2026  3:49 PM,85,0.04,0.01,0.05,-0.01,-20.00%,27,"1,538",128.13%
MP260320C00090000,3/13/2026  2:42 PM,90,0.01,0.01,0.03,0.00,0.00%,5,"1,296",137.50%
MP260320C00095000,3/13/2026  12:27 PM,95,0.01,0.00,0.05,-0.05,-83.33%,22,"2,251",154.69%
MP260320C00100000,3/12/2026  1:28 PM,100,0.07,0.00,0.10,0.00,0.00%,3,963,182.81%
MP260320C00105000,3/9/2026  11:07 AM,105,0.01,0.00,0.30,0.00,0.00%,1,292,226.95%
MP260320C00110000,3/5/2026  9:30 AM,110,0.34,0.00,0.26,0.00,0.00%,10,289,235.94%
MP260320C00115000,3/13/2026  1:19 PM,115,0.44,0.00,0.46,0.14,46.67%,5,365,270.90%
MP260320C00120000,2/27/2026  2:43 PM,120,0.27,0.00,0.01,0.00,0.00%,4,"4,822",187.50%
MP260320C00125000,2/23/2026  9:30 AM,125,0.03,0.00,0.03,0.00,0.00%,1,"1,409",214.06%
MP260320C00130000,1/2/2026  9:30 AM,130,0.17,0.00,0.73,0.00,0.00%,10,60,331.25%
MP260320C00135000,3/12/2026  3:42 PM,135,0.02,0.00,0.74,0.00,0.00%,50,124,343.75%
MP260320C00140000,3/3/2026  12:28 PM,140,0.03,0.00,0.05,0.00,0.00%,2,202,253.13%
MP260320C00145000,3/13/2026  11:59 AM,145,0.01,0.00,0.30,0.00,0.00%,2,565,320.31%
