Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MU270115C00430000,3/13/2026  3:54 PM,430,111.70,110.20,113.15,11.69,11.69%,15,418,73.92%
MU270115C00440000,3/13/2026  2:23 PM,440,105.00,106.05,109.10,8.46,8.76%,2,892,73.56%
MU270115C00450000,3/13/2026  3:53 PM,450,104.00,102.20,105.35,10.76,11.54%,36,"2,205",73.32%
MU270115C00460000,3/13/2026  3:53 PM,460,100.05,98.65,102.15,9.94,11.03%,100,284,73.28%
MU270115C00470000,3/12/2026  1:52 PM,470,86.20,95.20,98.45,0.00,0.00%,4,410,73.04%
MU270115C00480000,3/13/2026  2:57 PM,480,93.56,91.75,95.00,11.41,13.89%,27,"2,846",72.81%
MU270115C00490000,3/13/2026  3:24 PM,490,89.15,88.50,91.70,8.39,10.39%,55,214,72.63%
MU270115C00500000,3/13/2026  3:49 PM,500,86.50,86.50,88.35,9.98,13.04%,774,"2,724",72.76%
MU270115C00510000,3/13/2026  2:11 PM,510,82.28,82.20,85.35,7.82,10.50%,13,"1,393",72.20%
MU270115C00520000,3/13/2026  2:12 PM,520,79.25,79.50,82.75,7.05,9.76%,3,"1,429",72.23%
MU270115C00530000,3/13/2026  11:37 AM,530,77.60,76.75,80.65,10.00,14.79%,27,302,72.33%
MU270115C00540000,3/13/2026  1:44 PM,540,74.30,74.05,77.05,-0.95,-1.26%,28,281,71.92%
MU270115C00550000,3/13/2026  3:39 PM,550,73.72,72.65,74.50,9.25,14.35%,71,"3,868",72.20%
MU270115C00560000,3/12/2026  10:46 AM,560,60.55,69.00,72.05,0.00,0.00%,4,358,71.73%
MU270115C00570000,3/13/2026  3:24 PM,570,67.55,66.75,70.00,6.65,10.92%,118,413,71.79%
MU270115C00580000,3/13/2026  9:54 AM,580,66.15,64.05,67.40,8.55,14.84%,2,968,71.48%
MU270115C00590000,3/9/2026  9:42 AM,590,65.00,62.05,65.45,23.50,56.63%,1,140,71.55%
MU270115C00600000,3/13/2026  2:43 PM,600,61.00,60.15,62.95,6.57,12.07%,36,"3,161",71.43%
MU270115C00610000,3/13/2026  11:20 AM,610,57.80,58.15,61.15,5.20,9.89%,15,247,71.46%
MU270115C00620000,3/13/2026  10:36 AM,620,56.80,55.65,59.10,6.30,12.48%,2,"1,130",71.19%
MU270115C00630000,3/13/2026  1:12 PM,630,53.94,54.05,57.35,5.07,10.37%,70,"3,224",71.28%
MU270115C00640000,3/11/2026  3:31 PM,640,52.62,52.05,55.45,0.00,0.00%,3,184,71.14%
MU270115C00650000,3/13/2026  10:16 AM,650,52.59,50.55,53.90,6.79,14.83%,13,"2,776",71.25%
MU270115C00660000,3/13/2026  3:46 PM,660,50.30,48.55,51.70,0.10,0.20%,105,409,70.92%
MU270115C00670000,3/10/2026  2:47 PM,670,44.45,47.00,50.60,0.00,0.00%,8,253,71.09%
MU270115C00680000,3/13/2026  12:41 PM,680,46.22,45.70,49.25,2.27,5.16%,14,962,71.22%
MU270115C00690000,3/10/2026  2:55 PM,690,41.30,44.20,47.60,0.00,0.00%,12,"1,379",71.14%
MU270115C00700000,3/13/2026  3:57 PM,700,44.72,43.80,45.70,6.32,16.46%,"1,886","2,295",71.32%
MU270115C00710000,3/13/2026  11:40 AM,710,41.18,41.70,44.70,2.48,6.41%,6,154,71.19%
MU270115C00720000,3/13/2026  3:24 PM,720,41.30,40.00,43.25,-0.20,-0.48%,6,391,71.00%
MU270115C00730000,3/10/2026  9:38 AM,730,35.05,39.35,41.75,0.00,0.00%,2,174,71.14%
MU270115C00740000,3/12/2026  1:31 PM,740,34.35,38.25,41.00,0.00,0.00%,5,728,71.36%
MU270115C00750000,3/13/2026  1:47 PM,750,36.96,36.40,39.50,0.70,1.93%,"1,050","4,235",71.00%
MU270115C00760000,3/13/2026  1:30 PM,760,36.50,35.30,38.20,0.24,0.66%,12,273,70.96%
MU270115C00770000,3/6/2026  12:26 PM,770,27.30,34.00,37.00,0.00,0.00%,6,55,70.85%
MU270115C00780000,3/13/2026  3:24 PM,780,34.45,33.85,36.45,1.10,3.30%,13,122,71.40%
MU270115C00790000,3/13/2026  2:50 PM,790,33.90,32.95,35.45,2.45,7.79%,2,391,71.47%
MU270115C00800000,3/13/2026  3:57 PM,800,33.13,32.15,34.10,4.63,16.25%,719,"1,682",71.41%
MU270115C00810000,3/9/2026  10:55 AM,810,22.51,30.60,34.00,0.00,0.00%,1,208,71.53%
MU270115C00820000,3/13/2026  10:15 AM,820,31.40,29.85,32.80,-0.20,-0.63%,2,360,71.50%
MU270115C00830000,3/13/2026  1:29 PM,830,29.73,28.25,32.30,1.99,7.17%,2,90,71.38%
MU270115C00840000,3/12/2026  9:52 AM,840,25.70,27.50,30.60,0.00,0.00%,2,48,71.10%
MU270115C00850000,3/13/2026  2:44 PM,850,28.55,26.80,29.00,0.20,0.71%,2,278,70.84%
MU270115C00860000,3/12/2026  12:46 PM,860,24.00,26.15,29.35,0.00,0.00%,2,74,71.40%
MU270115C00870000,3/13/2026  10:16 AM,870,26.70,26.20,28.75,3.67,15.94%,29,509,71.85%
MU270115C00880000,3/13/2026  2:56 PM,880,26.79,24.80,27.90,5.58,26.31%,2,38,71.55%
MU270115C00890000,3/12/2026  2:41 PM,890,22.25,24.85,26.60,0.00,0.00%,40,202,71.65%
MU270115C00900000,3/13/2026  3:49 PM,900,24.99,24.15,26.65,4.12,19.74%,724,666,72.01%
MU270115C00910000,3/13/2026  3:12 PM,910,24.22,23.35,25.00,3.27,15.61%,87,"1,976",71.54%
